"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"CEP290","80184","CEP290 centrosomal protein 290kDa","12","CT87; MKS4; POC3; rd16; BBS14; JBTS5; JBTS6; LCA10; NPHP6; SLSN6; 3H11Ag; FLJ13615; FLJ21979; KIAA0373; CEP290","15604243","77213","NA"
"CLDN1","9076","claudin 1","3","CLD1; SEMP1; ILVASC","16797678","9620","BRD4,CLDN1,CLDN3,INADL,MMP14,MMP2,MPDZ,TJP1,TJP2,TJP3,WNK4"
"CLMP","79827","CLMP CXADR-like membrane protein","11","ACAM; ASAM; FLJ22415","17043662","11705","NA"
"CMTM8","152189","CMTM8 CKLF-like MARVEL transmembrane domain containing 8","3","CKLFSF8; CKLFSF8-V2; CMTM8","18949382","12345","EGFR"
"CNR2","1269","cannabinoid receptor 2 (macrophage)","1","CB2; CX5","20133454","1389","GNA15"
"CNTF","1270","CNTF ciliary neurotrophic factor","11","HCNTF; CNTF","15604243","8288","APOE,CNTF,CNTFR,IL6R,IL6ST,LIFR"
"COL3A1","1281","COL3A1 collagen; type III; alpha 1","2","EDS4A; FLJ34534; COL3A1","18949382; 17043662","55433","CAPN1,DDR1,DDR2,FGF7,HTRA1,MAG,MYOC,PCOLCE,SPARC,THBS1"
"COL4A5","1287","COL4A5 collagen; type IV; alpha 5","X","ATS; ASLN; CA54; MGC42377; MGC167109; COL4A5","18949382","22422","APP,CD93,DCN,FBLN2,FN1,HABP2,MATN2,MMP9,OSM,RNF10,SERPINE2"
"COLEC11","78989","COLEC11 collectin sub-family member 11","2","CLK1; CL-K1-I; MGC3279; CL-K1-II; CL-K1-IIa; CL-K1-IIb; DKFZp686N1868; COLEC11","18949382","11423","NA"
"COPS2","9318","COPS2 COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)","15","CSN2; SGN2; ALIEN; TRIP15; COPS2","15604243","3124","COPS2,COPS3,COPS4,COPS5,COPS6,COPS7A,COPS8,CUL5,GFER,GPS1,IRF8,MAPK8,NIF3L1,NR0B1,NR2F1,RARA,RXRA,THRA,THRB,TP53"
"COX7A1","1346","COX7A1 cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)","19","COX7A; COX7AH; COX7AM","17043662","48051","NA"
"CRABP2","1382","CRABP2 cellular retinoic acid binding protein 2","1","RBP6; CRABP-II; CRABP2","159300340","1415","CCND3,CRABP2"
"CREB1","1385","CREB1 cAMP responsive element binding protein 1","2","CREB; MGC9284; CREB1","15604243","3223","ABL1,AKT1,ATF1,ATM,C14orf1,CEBPB,CHD3,CREBBP,CREM,DYRK1A,EDF1,FHL5,GLI2,GSK3B,GTF2F2,HPS6,KAT5,KCNIP3,MAPK14,MAPKAPK2,NR3C1,PDX1,PRKG1,RAB1A,RECQL5,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,SGK1,SMARCA4,SMARCA5,SOX9,SRF,THRA,TSSK4,VIM"
"CRISPLD2","83716","CRISPLD2 cysteine-rich secretory protein LCCL domain containing 2","16","CRISP11; LCRISP2; MGC74865; DKFZp434B044","17043662","41792","NA"
"CSNK2B","1460","CSNK2B casein kinase 2; beta polypeptide","6","G5A; CK2B; CK2N; CSK2B; MGC138222; MGC138224; CSNK2B","19056846","55572","ARAF,BID,BRCA1,BTF3,CD163,CDC25B,CDC34,CDK1,CDK20,CDKN1A,CHEK1,COIL,CSNK2A1,CSNK2A2,CSNK2B,CTDP1,CTNNB1,EIF2S2,EIF5,ESR1,FAF1,FGF1,FGF2,FIBP,FKBP3,GADD45GIP1,HOXB6,IRS1,LYN,LYST,MAPK14,MBD4,MME,NCF1,NOLC1,OCLN,PIN1,PRKCZ,PRNP,RNF7,RPL41,RPL5,RPS6KB1,SHMT1,SHMT2,TOP2B,TP53,USO1,ZNF44,ZNHIT1"
"CTHRC1","115908","CTHRC1 collagen triple helix repeat containing 1","8","CTHRC1","18949382","16320","NA"
